Item|Description
0404-0178-01|ASSY,NTWRK CLNT 3.1E,NTLX PACK 
0404-0198-01|ASSY,NTWRK CLNT 3.1F,NTLX PACK 
04ECKRWK|VCR PWR/EJECT ONLY             
0500-0572-02|EXTRUSION E FIELD ANT-HLUSTER  
0500-0572-03|EXTRUSION E FIELD ANT-MAT WHT  
0500-0572-06|EXTRUSION "E" FIELD ANT-BRONZE 
0500-2872-01|COVER,ANT BASE-REAR W/WDO  BGE 
0500-2873-01|COVER ANTENNA BASE-REAR        
0500-2874-01|COVER,ANTENNA BASE-FRONT  BGE  
0500-3796-01|SHROUD,LENS                    
0500-3921-02|KEYPAD,BACKBOARD               
0500-4212-02|BASE,"T" CASTING               
0500-4347-02|LENS,PEDESTAL,GREY             
0500-4348-01|CORNER GUARD,M2000             
0500-4500-01|COVER,BASE                     
0500-4821-01|BRACKET,MTG                    
0500-4874-01|INSERT,COVER                   
0500-6712-01|TRIPOD MOUNT ULTRA DOME        
0500-6857-01|CAP,TOP W/O ALARM CUTOUT,ULTRA 
0500-6857-02|CAP,TOP W ALARM CUTOUT,  ULTRA 
0500-7253-01|LENS,ALARM,ULTRAPOST     ULTRA 
0500-7255-03|HOUSING,ULTRADOME              
0500-7257-02|BASE, UTLRADOME IV             
0500-7257-03|BASE,ULTRA DOME                
0500-7258-01|YOKE                           
0500-7293-01|CLIP,GROUNDING,ULTRA DOMEE     
0500-7411-01|SKIRT,INSIDE BUBBLE,ULTRA DOME 
0500-7851-02|STRADDLE BRACKET               
0500-7873-02|SIDE MOUNT BRACKET             
0500-8019-01|LANYARD ASSY, ULTRA III        
0500-8021-02|CAP, SPEEDDOME ULTRA IV        
0500-8021-03|CAP,ULTRA III                  
0500-8023-01|HEATER,ULTRA OUDOOR            
0500-8037-01|SLOT COVER W/O LENS PORT       
0500-8037-02|SLOT COVER,W/O LENS PORT       
0500-8038-02|YOKE BRACKET                   
0500-8046-01|LANYARD HOOK, ULTRA III        
0500-8049-01|BASE MODIFIED, ULTRA OUTDOOR   
0500-8188-01|RUBBER BUTTONS-ROUND           
0500-8189-01|BUTTONS,RUBBER,SQUARE,BLCK,5P  
0500-8264-01|ADAPTER,RACK MOUNT,BNC,PANEL   
0500-8921-01|SPRING,TRIGGER,MANUAL DETACHER 
0500-8931-01|TAG HOOK,MANUAL DETACHER       
0500-8949-01|TRIGGER/HOOKLINK MAN DET       
0500-8991-01|INSERT,BUTTON                  
0500-9067-01|FLOOR MOUNT                    
0500-9109-01|PAN BASE W/INSERTS             
0500-9168-01|TILT UPRIGHT                   
0500-9303-01|LENS,DGTL PROMAX               
0500-9304-01|BASE DIGITAL PEDESTAL          
0500-9304-02|BASE DIGITAL PEDESTAL          
0500-9305-01|SHROUD,DGTL PROMAX             
0500-9350-02|BASE COVER DIGITAL PROMAX      
0500-9353-01|SPEAKER COVER,DGTL PROMAX      
0500-9353-02|SPEAKER COVER,DGTL PROMAX      
0500-9603-01|SURFACE MOUNT FOR SCAN-THRU II 
0500-9698-01|LH Costco Deactivator Bracket  
0500-9914-01|PDT PROTECTIVE CASE, RFID      
0500-9915-01|BELT CLIP, RFID                
0500-9930-01|RING, LANYARD, RFID            
0505-0266-01|RH Costco Deactivator Bracket  
0505-0569-01|BRACKET,ANTENNA                
0505-0604-01|BRACKET, ANTENNA               
0505-0613-01|BRACKET,ANTENNA,915,LINEAR     
0505-0938-01|BRCKT,RP BNC,DV4000            
0600-0357-01|PAPER,PRNTR,9.5X11,WHT,250SHTS 
0620-2238-01|BUTTON ASSY,(MJ52-2) 1000/BOX  
0649-0713-01|MAILER,FLOPPY DISK,3.5"        
0649-1108-04|PLASTIC BAG,ZIPLOCK 300 X 225  
0649-1265-01|JEWEL CASE, CD                 
0649-1648-01|BOX,MUX24 7/8 X 16 X 4 3/16 RS 
0649-1966-01|CTN,POS/EM SYS                 
0649-2269-01|CASE FOR OPTIMA DISPLAY BLK    
0650-0150-01|CABLE ASSY E FLD PLENUM HALO   
0650-0165-02|HARNESS ASSY, FRONT CONSOLE    
0650-0204-01|CABLE ASSY,RF PLENUM 40FT      
0650-0204-02|CABLE ASSY RF PLENUM 60FT      
0650-0298-01|CABLE ASSY,CAMERA POWER        
0650-0324-01|CABLE ASSY,TRANSCEIVER         
0650-0441-01|CABLE ASSY,POWER               
0650-0442-01|CABLE ASSY,ALARM               
0650-0553-01|CBL ASSY,XCVR-BX/PNL RCVR-40FT 
0650-0561-01|CABLE ASSY,BX/PNL XMTR,40FT    
0650-0603-01|CABLE ASSY,DMS 915 RF LOCAL    
0650-0618-01|XFMR ASSY 120 VAC/24 VAC       
0650-0718-02|CABLE ASSY,KYNAR,U*M PED RCVR  
0650-0782-01|CABLE ASSY,POWER IN,QUAD CHECK 
0650-0827-01|CABLE ASSY,QUAD,SHORT          
0650-0837-01|CABLE ASSY,FAN,SENSOR,I.DOUTDO 
0650-0991-01|CABLE ASSY,W/JUNCTION BOX,EXTE 
0650-1121-02|CABLE ASSY,KYNAR,M2K/M4K PED X 
0650-1154-01|CABLE ASSY,M4K INT. TRANSMITTE 
0650-1164-01|CABLE ASSY,EPSON TM930         
0650-1273-01|CABLE ASSY,GROUND,POWER SUPPLY 
0650-1342-01|CBL ASSY, PAN RDR TRAC3 RM1/2  
0650-1727-01|JOYSTICK W/PSH BUTN ASSY       
0650-1767-01|CABLE ASSY,EXPANSION,W/MANUAL  
0650-1805-01|CABLE ASSY, RCVR/XMTR, UPOST   
0650-1805-02|CABLE ASSY, RCVR/XMTR, U*PII   
0650-1809-02|CABLE ASSY,U*P,SECONDARY,12M   
0650-1977-01|CABLE ASSY,U*M PED RCVR        
0650-2001-01|CABLE/FAN ASSY, ULTRA III      
0650-2163-05|CBL/A,M4KCE INT, XMTR          
0650-2184-01|CBL/A,U*M PED TRANSCEIVER      
0650-2407-01|CBL/A,I/O BD OUTDR ULTRA       
0650-2418-01|CABLE ASSY,STAT LED/PBS,DRMAX  
0650-2420-01|CBL/A,DIGITAL DOORMAX          
0652-0004-01|HARNESS,AC,INTLLEX ESM         
0652-0026-01|ADAPTER, CABLE                 
0652-0071-01|SCANMAX IS PRO EXT CBL ASSY    
0652-0075-01|SCANMAX IS PRO INTERFACE C/A   
0694-0031-01|CC800/8000 PKG BOX             
0694-0033-01|CCURE 800/8000 SLEVE           
0694-0033-02|BOX SLEEVE, CCURE CENTRAL      
0694-0035-02|BADGE HOLDER                   
0694-0038-01|INSERT, JEWEL CASE CC800       
0694-0069-01|SLEEVE,INTELLEX UPGRADE        
0694-0091-01|INSERT,SET,JWL CSE,NTWRKCLT2.4 
0694-0112-01|INSERT,BACK,JEWEL CASE,NC 3.0  
0694-0113-01|INSERT,FRNT,JWL CASE,NC 3.0    
0694-0155-01|SLEEVE,INTELLEX UPGRADE        
0694-0157-01|INSRT,JWL CS,INTLX 3 UPGRD     
0694-0191-01|JEWEL CASE,CD,DOUBLE,2CD|S     
0694-0193-01|INSRT,BACK,JWL CS,NC 3.1       
0694-0194-01|INSRT,FRNT,JWL CS,NC 3.1       
0694-0195-01|SLEEVE,OUTER,NTWRK CLNT 3.1    
0694-0198-01|CC800/8000 PKG BOX             
0694-0200-01|SLEEVE, CC800 VER 8.0.0        
0694-0215-01|INSRT,JWL CS,INTLX 3.1 UPGRD   
0694-0216-00|JEWEL CASE, CLEAR, NO TRAY     
0694-0216-01|CD TRAY, 2 CD                  
0694-0216-02|CD TRAY, 1 CD                  
0701-0006-0630|FIRMWARE,SPEEDDOME       RS422 
0701-0030-0403|FW,DUAL TT,FLASH,VM96,VER4.03  
0701-0040-0411|FIRMWARE,TT CPU,EEPROM,V 4.11  
0701-0051-0520|HDRVE,PRGMRD,VM96 VER 5.20     
0701-0077-0313|F/W,SPEEDDOME,EEPROM,V3.13     
0701-0079-0200|FIRMWARE,SPEEDDOME2000,UNICARD 
0701-0079-0210|FIRMWARE,SPEEDDOME,SENSORNET,U 
0701-0081-0316|Firmware,SpeedDome,Sensornet,U 
0701-0090-0520|VM96 UPGR/REST SW,VER 5.2      
0701-11X5-156A|FIRMWARE, 1641                 
0701-13N0-11E9|FIRMWARE, AD2078               
0701-2005-0152|DISK PROG,POS/EM VALUE V1.52   
0701-2007-0200|F/WARE,TT,VM16+,EEPROM,VER 2.0 
0701-2029-0200|EPROM,PROGRAMED,MCO APPLICATIO 
0701-2029-0543|EPROM,M2K/M4K                  
0701-2030-0201|SOFTWARE RELEASE VERSION 2.01  
0701-2315-0306|FIRMWARE,ULT DOME II, VER0306  
0701-2325-1600|FLASH,APC8X,FIRMWARE 8.7U U42  
0701-2326-1600|FLASH,APC8X,FIRMWARE 8.7U U43  
0701-2327-1600|FLASH,APC/L,FIRMWARE 10.7U U42 
0701-2328-1600|FLASH,APC/L,FIRMWARE 10.7U U43 
0701-2377-0420|EPROM,PRGMD,U*P APPL V4.20     
0701-2420-01|POS/EM PLUS CONTROLLER SFTWARE 
0701-2488-0102|FIRMWARE,SPEEDDOME LT,EE,V1.02 
0701-2489-0102|EXECCODE,SPEEDDOME LT,FL,V1.02 
0701-2507-0205|FIRMWR,SPDM ULTRAIII/IV,V 2.05 
0701-2507-0307|FIRMWR,SPDM ULTRA V,V3.07      
0701-2665-0102|FIRMWARE,IC,PROM,DPLX,NTSC/EIA 
0701-2698-0100|SYSTEM DRIVE, INTLX 2, 60G     
0701-2833-0102|FRMWR,TT,CPU,EEPROM,VM16,V1.0  
0701-2833-0103|FMWR,TT,CPU,EEPRON,VM16,V1.03  
0701-2834-0102|FRMWR,DUAL TT,FLASH,VM16,V1.0  
0701-2834-0200|FMWR,DUAL TT,FLASH,VM16,V2.0   
0701-2837-0501|FRMWR,TT,CPU,EEPROM,V5.01      
0701-2838-0506|FIRMWARE, DUAL TT, FLASH, 3135 
0701-2843-0106|FIRMWARE, V1.06                
0701-4008-0103|FIRMWR,SPDM ULTRA 6, V1.03     
0710-0014-0101|SYS DRV, INTLX 2.1, 80G        
0710-0014-0102|SYS DRV, INTLX 2.X, 80G        
0710-0041-0100|SYSTM DRV,DV16000,100G         
0710-0042-0100|DATA DRV, DV16000, 100G        
0710-0072-01|SW, MS SQL2000, 5 CLIENT       
0710-0089-0101|SYS,DRV,DV16,INTLX 2.4,120G    
0710-0090-0100|SYS DRV,DV,DV16,INTLX 2.4,80G  
0710-0090-0101|SYS,DRV,DV16,INTLX 2.4,80G     
0710-0091-0100|DATA DRV, INTLX 120G           
0710-0141-0100|DATA DRIVE,INTLX,160G          
0710-0145-0100|SYS DRV,DV16,INTLX3.0,120G     
0710-0146-0100|SYS DRV,DV16,INTLX3.0,160G     
0710-0147-0100|FIRMWARE,SPDM ULTRA VII,V 1.00 
0710-0147-0102|FIRMWARE,SPDM ULTRA VII        
0710-0149-0100|SYS DRV,DV8,INTLX3.0,120G      
0710-0151-0100|DATA DRV,INTLX3.X,160G         
0710-0188-0100|CD-ROM,MANUALS,INTLX 3.1       
0710-0190-0100|SYS DRV,DV16,INTLX3.1,120G     
0710-0191-0100|SYS DRV,DV16,INTLX3.1,160G     
0710-0271-0100|NTLX3.1A RECVRY CD1,BRN        
0710-0272-0100|NTLX3.1A RECVRY CD2,BRN        
0710-0347-0100|NTLX3.1E RCVRY CD 1/2,BYFLD    
0710-0348-0100|NTLX3.1E RCVRY CD 2/2, BYFLD   
0710-0353-0100|SYS DRV,NTLX3.1E,160G,BF/PACK  
0710-0354-0100|SYS DRV,NTLX3.1E,120G,BF/PACK  
0710-0355-0101|CD,NETWORK CLIENT 3.1F         
0710-0386-0100|NTLX3.1 RCVRY CD 1/2,BYF,SP1   
0710-0387-0100|NTLX3.1 RCVRY CD 2/2,BYF,SP1   
08504249|MIT DS70 or NEC FE700 17IN VGA 
08504301|DTX PC NON-UL PENTIUM W/MOUSE  
1100-0200-01|XFMR,GROUND LOOP,VIDEO         
118-937AA|READER,WR-3 WIEGAND KEY BLACK  
118-942|READER,WIEGAND SWIPE WR-1 BL   
118-942AB|READER,WIEGAND SWIPE BEIGE WR2 
118-985|READER,WIEGAND INSERTION ESCU  
119-850|READER,TURNSTILE WTR-2 BLACK   
1200-2731-28|PAPER, COLOR VIDEO PRINTER/5 R 
1200-3153-99|POWER SUPPLY BACKUP            
122-983B26|RDR PRXASR620,In/Out,Blck26bt  
122-983B37|RDR PRX ASR620,In/OutBlK37bt   
122-994-BG26|RDR, PRXTY, ARK-501 MATRIX KEY 
122-994-BG37|RDR, PRXTY, ARK-501 MATRIX KEY 
127-P300|RDR, CASCADE PROXIMITY         
127-P300-H|RDR, CASCADE PROX, HID COMP    
127-P500|RDR, ALPS PROXIMITY            
127-P500-H|RDR, ALPS PROXIMITY, HID COMP  
128-FP-123-M-37B|RDR,FP,WAVE MID RANGE,MARINE   
128-FP-123-O-26B|RDR,FP,WAVE MID RANGE,ONYX     
128-FP-123-O-37B|RDR,FP,WAVE MID RANGE,ONYX     
128-FP-151-O-37B|RDR,FP,WAVE SLIM,ONYX          
128-FP-152-O-26B|RDR,FP,WAVE WALLSWITCH,ONYX    
128-FP-152-O-37B|RDR,FP,WAVE WALLSWITCH,ONYX    
128-FP-223-O-26B|RDR,FP,CURVE MIDRANGE,ONYX     
128-FP-252-M-37B|RDR,FP,CURVE WALLSWITCH,MARINE 
128-FP-252-O-26B|RDR,FP,CURVE WALLSWITCH,ONYX   
128-FP-252-O-37B|RDR,FP,CURVE WALLSWITCH,ONYX   
128-FP-323-G-37B|RDR,FP,ARCH MIDRANGE, GRAPHITE 
128-FP-323-O-26B|RDR,FP,ARCH MIDRANGE,ONYX      
128-FP-323-O-37B|RDR,FP,ARCH MIDRANGE,ONYX      
128-FP-323-T-26B|RDR,FP,ARCH MIDRANGE,TAUPE     
128-FP-351-G-26B|RDR,FP,ARCH SLIM,GRAPHITE      
128-FP-351-O-26B|RDR,FP,ARCH SLIM,ONYX          
128-FP-351-O-37B|RDR,FP,ARCH SLIM,ONYX          
128-FP-351-S-26B|RDR,FP,ARCH SLIM,SNOW          
128-FP-351-S-37B|RDR,FP,ARCH SLIM,SNOW          
128-FP-352-G-26B|RDR,FP,ARCH WALLSW,GRAPHITE    
128-FP-352-G-37B|RDR,FP,ARCH WALLSW,GRAPHITE    
128-FP-352-O-26B|RDR,FP,ARCH WALLSWITCH,ONYX    
128-FP-352-O-37B|RDR,FP,ARCH WALLSWITCH,ONYX    
128-FP-352-S-26B|RDR,FP,ARCH WALLSWITCH,SNOW    
128-FP-352-S-37B|RDR,FP,ARCH WALLSWITCH,SNOW    
128-FP-352-T-26B|RDR,FP,ARCH WALLSWITCH,TAUPE   
128-FP-451-G-26B|RDR,FP,LINEAR,SLIM,GRAPHITE    
128-FP-451-G-37B|RDR,FP,LINEAR,SLIM,GRAPHITE    
128-FP-451-O-26B|RDR,FP,LINEAR,SLIM,ONYX        
128-FP-451-O-37B|RDR,FP,LINEAR,SLIM,ONYX        
128-FP-451-T-26B|RDR,FP,LINEAR,SLIM,TAUPE       
128-FP-452-G-26B|RDR,FP,LINEAR,WALLSW,GRAPHITE  
128-FP-452-G-37B|RDR,FP,LINEAR,WALLSW,GRAPHITE  
128-FP-452-O-26B|RDR,FP,LINEAR,WALLSW,ONYX      
128-FP-452-O-37B|RDR,FP,LINEAR,WALLSW,ONYX      
128-FP-452-S-26B|RDR,FP,LINEAR,WALLSW,SNOW      
128-FP-452-S-37B|RDR,FP,LINEAR,WALLSW,SNOW      
128-FP-452-T-26B|RDR,FP,LINEAR,WALLSW,TAUPE     
128-FP-452-T-37B|RDR,FP,LINEAR,WALLSW,TAUPE     
128-FP-455-G-37B|RDR,FP,LIN,MAG STRIPE,GRAPHITE 
128-FP-455-O-26B|RDR,FP,LIN,MAG STRIPE,ONYX     
128-FP-455-T-26B|RDR,FP,LIN,MAG STRIPE,TAUPE    
130-915|HEATER KIT FOR MRM/RM APPLCTNS 
131-911A|MRM SERIES READ HEAD ASSEMBLY  
131-912|ARM-1 AUX RDR MODLE FOR MRM/RM 
132-183|SCREWDRIVER FOR MRM/RM SERIES  
132-184|SCREWS, SECURITY, FOR MRM/RM   
1390-0008-01|DISK,FLOPPY,3-1/2",DS-HD       
1390-0015-01|TAPE,CASSETTE,DAT,295FT,2.GB   
1390-0020-01|CD, BLANK                      
13VD3-8|VIDEO, LENS;  1/3"VDCL 3-8MM F 
140-110-STK|STOCK CARD,PROXCARD II 26 BIT  
140-111-STK|STOCK CARD,PROXCARD II 37 BIT  
140-122-STK|STOCK CARD,DUO PROX II 26 BIT  
140-123-STK|STOCK CARD,DUOPROX II 37 BIT   
140-130|KEY, PROX, ACCESSKEY 26BIT     
140-152|CARDS, PRXMTY, ISOPROX II 26BI 
140-153-STK|STOCK CARD, ISOPROX II 37BIT   
140-165|OVERLAY, NON ADHS FOR PROX II  
140-320-BG|HID, PROXPRO RDR BEIGE         
140-320-GR|HID PROXPRO RDR GRAY           
140-322-BG|RDR,PROXPRO II CLASSIC BEIGE   
140-322-BK|RDR,PROXPRO II CLASSIC BLK     
140-322-GR|RDR PROXPRO II DES GRAY        
140-330-BG|HID MINIPROX RDR BEIGE         
140-330-BK|RDR,HID MINIPROX BLACK         
140-330-GR|HID MINIPROX RDR GRAY          
140-330-WH|RDR, HID MINIPROX WHITE        
140-331-BK|READER,MINIPROX DESIGNER BLACK 
140-331-GR|MINIPROX DESIGNER CHARCOAL GRY 
140-340-GR|READER, PROX, MAXIPROX, GREY   
140-350-BG|HID THINLINE II RDR BEIGE      
140-350-BK|HID THINLINE II RDR BLACK      
140-350-GR|HID THINLINE II RDR GRAY       
140-351-BK|RDR,THINLINE II DESIGNER BLACK 
140-351-GR|READER,THINLINE II DES CH GREY 
140-351-WH|RDR, THINLINE II DESIGNER WHIT 
140-400-BG|HID PROXPRO RDR W/KEYPAD BEIGE 
140-400-GR|HID PROXPRO RDR W/KEYPAD GRAY  
140-401-GR|PROXPRO WKYPD-WIEG DATA-GR     
140-510|RDR,PROXIMITY,MULTIPROX,BACKCN 
140-520|RDR,MULTIPROX,SIDE CONNECT     
140-540|RDR,MULTIPROX CONTROLLER 24V   
140-560-GR|RDR,PROXPROPLUS,6030,GR,SIDE C 
140-561|RDR,BLK PROXPOINT PLUS 6005A   
140-562-BG|RDR,HID PROXPT PLS 6005B,BEIGE 
140-562-BK|RDR,HID PROXPNT PLUS 6005B,BLK 
140-562-GR|RDR,HID PROXPT PLUS 6005B,GRAY 
140-562-WH|RDR HID PROXPOINT PL DES WH    
140-563-BK|RDR,PROXPOINT PLUS-DES BLK     
140-563-GR|RDR,HIDPROXPOINT PL DES GRAY   
140-563-WH|RDR,WHITE                      
1400-0061-01|BRKT,WALL MT,TMPR PF,CAMERA    
1400-0062-01|HOUSING,CHIP CAMERA,TMPR PRF   
1400-0138-01|HOUSING,CAMERA,OUTDOOR,24V HTR 
1400-0149-01|DRIVE, TAMPERPROOF             
1400-0174-01|DOME, SURFACE MOUNT            
1400-0178-01|WALL MOUNTING BRK FOR BCS      
1400-0179-01|ENCL,RCPTL,1GANG,DUPLX,2-3/4 D 
1410-0013-01|THRESHLD, SADDLE, 5X3X67       
1410-0014-01|WIRING DUCT EMAX II 20FT       
1410-0014-02|WIRING DUCT EMAX II 30FT       
1410-0015-01|THRESHOLD,RUBBER,3.3|X10|,GRAY 
150-130-26|VERIPRX RDR HID PROX FINGPRNT  
150-131|VERIPRX ENROLL STATION         
150-132|RS232/484 CNVRTR BIOSCRIPT RDR 
150-134|VERI-SERIES PWR SUPPLY         
150-140|BIOSCRYPT,VPASS READER STDAL   
150-141|VPASS ENROLL STATION           
1538-2097|CAP,20000UF,40V,10%,CGEL       
1600-0106-01|LATAPOXY 300                   
180-100|BARANTEC HID PROX W 8BIT KYPD  
180-200|BARANTEC ICLASS SMTCRD 8BIT KY 
1800-0126-01|IND,10UH,10%,10A,CHOKE,POWER,P 
1800-0185-01|INDUCTOR,8.0UH,5ARMS,58KHZ,TOR 
200-301|S-VIDEO CABLE 4 PIN M/M        
2000-0003-02|PAPER 3*5 HI RES               
2000-0005-02|PAPER,PRINTER,VID/5 RLS PER CS 
2002-0004-01|RECORDER,VCR 8HR,VHS           
2003-0021-01|CAMR,1/2",B/W,60HZ             
2003-0037-11|CAM,1/4"CCD,CLR,NTSC,9VDC,16X  
2003-0044-01|CAM,1/3",CLR,NTSC,12VDC        
2003-0046-01|CAM,1/4,CCD,23X,NTSC,9V        
2004-0029-02|MOTOR,FOCUS,ZOOM,MAN,12.5-25MM 
2025-0025-01|KEY BOARD (AT) COMPATIBLE      
2025-0075-01|DISK DRIVE,FLOPPY,1.44MB,3.5"L 
2025-0076-01|BOARD,IDE-I/O,2HDD,2FDD,1P,2S, 
2025-0168-01|MODEM,PC,INTERNAL,14.4KBPS,HAY 
2025-0194-01|COMPUTER,POS/EM HOST,486DX2/66 
2025-0195-01|CONCENTRATOR,ASYNC,16 PORT,CX  
2025-0195-02|CONCENTRATOR,ASYNC,RS232/422,1 
2025-0259-01|ETHERNET ADAPTER,INTEL,EXPRESS 
2025-0267-02|MAINBOARD,PC,486,8SLOT,W/CACHE 
2025-0294-01|ADPT,RJ45 TO DB9 FEM,WIRED     
2025-0309-01|TERMINATOR,SCSI-3,INTERNAL     
2025-0314-02|MODEM,56K,INTERNAL,V.92/V.90   
2025-0326-02|DSK DRV,HD,80GB,9MS,3.5IN,EIDE 
2025-0327-01|PORTABLE DATA ASST,VISOR PLATI 
2025-0331-01|BACKUP MEMORY MODULE           
2025-0334-01|VIDEO CARD,32MB, NTSC/PAL      
2025-0335-02|CBL PATCH,INTERNAL 7-IN 6P-6P  
2025-0335-03|CBL ENCL,6-IN 6P-6P,SNAP IN    
2025-0336-02|MAINBRD,DSKTOP,D815EEA2LU,BOXD 
2025-0338-01|DRIVE,CD-ROM IDE,OEM,BLACK     
2025-0339-10|DRIVE,CD-RW,52X24X52,OEM BLACK 
2025-0339-12|DRIVE,CD-RW,52X32X52,USB,EXT   
2025-0341-01|ENVELOPE,CD,WINDOW,W/FLAP,WHT  
2025-0344-01| PENT3,933,ETHNT,CFG1          
2025-0345-01|PENT3, 933,ETHNT,W/T-R         
2025-0346-01|PRINTER,COLOR,DESKJET 935C,HP  
2025-0347-01|UPS,COMPUTR BACKUP,500VA,BLACK 
2025-0348-01|SWITCH,NETGEAR,5 PORT,10/100SP 
2025-0349-01|SWITCH,NETGEAR,8 PORT,10/100SP 
2025-0353-01|NETWORK CARD,10/100,3C905C-TXM 
2025-0354-01|NETWORK CARD,TOKEN RNG,IBM CS3 
2025-0359-01|ADTR,SCSI3-DC50,MD68F IDC50F   
2025-0362-01|DSK DRV,HD,120G,2MS,3.5IN,EIDE 
2025-0362-02|DSK DRV,HD,120GB,9MS,3.5IN,EID 
2025-0369-01|CARRYING CASE, PELICAN 1450    
2025-0381-01|HASP,SOFTWARE KEY,PAR          
2025-0396-01|BRKT,HD MOUNTING,INTLX         
2025-0410-01|ALARM LOGGING UNIT,ULTRALINK   
2025-0410-02|ULTRALINK, CE ASSY             
2025-6015-01|P/S,DC,250W,MODIFIED,NO,SWITC  
2025-6016-01|FLOPPY DRIVE,1.44MB,3.5 INCH   
2025-6040-02|MOUSE,2 BUTTON,BLACK           
2025-6057-01|NETWORK,INTERFACE,CARD,PCI     
2025-6071-01|CARD,SCSI,PCI                  
2025-6078-01|PCA,FRNT PNL,INTLX 2           
2025-6079-01|CABLE,FRNT PNL,INTL 2          
2025-6081-01|DOOR,FRT PANEL, INTLX2         
2025-6088-01|TAPE,DRIVE,DIGITAL/AUDIO,DDS-4 
2025-6095-01|VIDEO CARD,NTSC,AGP,32MB       
2025-6096-01|VIDEO CARD,PAL,AGP,32MB        
2025-6098-01|HARDDRIVE,60GB, 3.5 INCH, EIDE 
2025-6102-01|SRVR, DELL, DIGI, TAPE, WIN 2K 
2025-6103-01|SRVR, DELL, TAPE, WIN 2K       
2025-6105-03|COMPUTER, GX270                
2030-0032-02|BADGE,CARD,FLAT,READ/WRITE,RF/ 
2050-0057-01|S/W,LIC,WIN2000,CERT OF AUTH   
2051-0048-01|SCO OPEN SERVER 5 USER LIC BAS 
2051-0048-10|SCO Open Server 10 Usr License 
2100-0004-01|SLIP RING,13 CONDUCTOR         
2100-0005-01|SLIP RING,14 CONDUCTOR         
2100-0006-01|SLIP RING                      
2101-0051-02|TBLK,PLGBL,5C,22-14,10A,2P     
2103-0010|CONN,RCPT,.145CTR,3PIN W/EARS  
2103-0011|CONN,PLUG,.145CTR,3PIN,W/EARS  
2103-0012|CONN,RCPT,.145CTR,4PIN,W/EARS  
2103-0013|CONN,PLUG,.145CTR,4PIN,W/EARS  
2103-0014|TERM,.093FEMALE,TIN,18-24AWG   
2103-0015|TERM,.062MALE,TIN,18-24AWG     
2103-0018|CONN,PLUG,.145CTR,6PIN,W/EARS  
2103-0027|CONN RECEPTACLE   1 CKT NYLON  
2103-0059-01|TERM,.093MALE,TIN,14-20AWG     
2103-0064-01|TERM,.093FEMALE,TIN,14-20AWG   
2103-0084-01|TERM,.093MALE,TIN,18-22AWG     
2103-0092-02|CONT,CRP,SKT,26-22AWG,.050DIA  
2103-0092-03|CONT,CRMP,PIN,24-20AWG,.060DIA 
2107-0005-01|CONN 8 PIN FEMALE              
2107-0006-01|DOME CONNECTOR  8 PIN MALE     
2109-0011|CONN HOUSING 3 CKT LOCK        
2109-0127-02|CONN,HSG,PLUG,.198CTR,2PIN     
2109-0128-03|CONN,HSG,FEM,.198CTR,LKG,3 PIN 
2109-0160-01|CONN,RCPT,.145CTR,9 PIN        
2109-0210-01|CONN,PHONE ADAPTER,6X6 COND    
2109-0254-01|CONN,PLUG,TUBLR,.200CTR,26-12A 
2109-0254-02|CONN,PLUG,TUBLR,.200CTR,26-12A 
2109-0254-04|CONN,PLUG,TUBLR,.200CTR,26-12A 
2109-0254-06|CONN,COMP SCR TYPE,7PIN        
2109-0271-07|Conn., Compression, 7 PinMale  
2109-0282-12|CONN,HSG,RCPT,3.96CTR,W/RAMP,1 
2109-0303-01|CONN,PLUG,TUBLR,.200CTR,26-12A 
2109-0510-03|CONN,PLUG,TUBLR,3.5MMCTR,3POS  
2109-0510-05|CON,P,EUR,3.5,22-16,1X5        
2109-0572-09|CON,PLG,EUR,3.5,22-14,LBL,9P   
2109-0594-07|CON,P,EUR,3.81C,26-16G,1X 7P   
2109-0756-01|CON,P,EUR,.2C,26-12G,1X2P,GRAY 
2111-0012|CONN,SMA,STRAIGHT,PLUG,RG-55/U 
2111-0020|CONN,SMA,STRAIGHT,JACK,RG-55/U 
2111-0033-01|MALE BNC CONNECTOR (PLUG)      
2111-0034-01|FEMALE BNC CONNECTOR (JACK)    
2111-0035-01|MALE BNC CONNECTOR (PLUG)      
2113-0003|ADAPT TEE BNC   JACK/PLUG/JACK 
2113-0004|Adaptor, BNC Male to     Femal 
2113-0010-01|ADAPTER BNC FEM-TO-FEM         
2113-0011-01|ADAPTER,UHF JACK-TO-BNC PLUG   
2113-0013-01|ADAPT,BNC JACK TO UHF PLUG     
2113-0015-01|ADAPTER,PHONO PLUG TO BNCJACK  
2113-0019-01|JACK ASSY,SURFACE,RJ45 TO SCRn 
2113-0020-01|JCK ASSY,SRF,2-RJ45-SCRS       
2125-0007-02|HOOD,D-SUB,EMI/RFI,.250DIA CBL 
2125-0008-02|HOOD,D-SUB,25 PIN,W/ RETAINER  
2130-0001-01|PLUG,STEREO,3.5MM,3 CONDUCTOR  
2130-0021-01|CONN,D-SUB,9-PIN,PLUG,STR      
2130-0021-03|CONN,D-SUB,25PIN,PLUG,STR      
2130-0022-01|CONN,D-SUB,9-PIN,RECPT,STR     
2130-0022-03|CONN,D-SUB,25-PIN,RCPT,STR     
2141-0002|LUG,SPADE,CRIMP,INSUL,22-16AWG 
